Order ID,Order Date,Ship Date,Customer Name,Country,Category,Sales,Profit,Quantity,Discount
GS-1000,2025-08-29,2025-09-02,Alice,USA,Office Supplies,1479.9,-642.78,0.0,
GS-1001,2025-11-23,2025-11-22,Frank,Brazil,Office Supplies,1990.55,-769.9,10.0,0.2
GS-1002,2025-05-31,2025-06-09,Eve,India,Furniture,1451.14,-61.56,2.0,0.1
GS-1003,2025-01-20,2025-01-21,Charlie,India,Technology,3290.88,1211.62,0.0,1.2
GS-1005,2025-06-06,2025-06-08,Diana,USA,Furniture,2077.59,-239.1,,0.0
GS-1005,2025-05-24,2025-05-23,Henry,Brazil,Technology,367.48,-107.24,0.0,0.1
GS-1006,2025-07-23,2025-07-26,Charlie,Brazil,Office Supplies,2049.01,-781.12,1.0,0.2
GS-1007,2025-07-13,2025-07-16,Henry,USA,Furniture,3431.56,161.43,10.0,1.2
GS-1008,2025-09-26,2025-09-26,Diana,India,Furniture,934.67,350.84,1.0,1.2
GS-1009,2025-10-08,2025-10-06,Bob,Brazil,Technology,265.81,63.38,10.0,1.2
GS-1010,2025-05-20,2025-05-29,Henry,India,Office Supplies,2470.22,-686.63,,0.2
GS-1011,2025-04-07,2025-04-11,Bob,Brazil,Technology,3517.74,-1617.37,0.0,1.2
GS-1012,2025-05-09,2025-05-17,Eve,India,Office Supplies,2178.8,93.34,1.0,0.2
GS-1013,2025-07-19,2025-07-22,Grace,India,Technology,1579.48,-582.78,,0.5
GS-1014,2025-12-25,2025-12-28,Henry,India,Technology,4012.45,-492.44,10.0,1.2
GS-1015,2025-06-28,2025-06-28,Grace,India,Office Supplies,751.06,-330.38,,
GS-1016,2025-04-08,2025-04-06,Grace,Brazil,Furniture,4387.16,-320.43,1.0,0.0
GS-1017,2025-08-20,2025-08-20,Frank,India,Office Supplies,3093.49,1047.91,2.0,0.1
GS-1018,2025-12-25,2026-01-04,Diana,Brazil,Technology,248.56,-106.01,3.0,0.2
GS-,2025-10-26,2025-10-28,Alice,Indai,Furniture,2162.22,767.95,,
GS-1020,2025-07-14,2025-07-21,Alice,UK,Furniture,2440.25,-33.69,10.0,0.2
GS-1021,2025-10-31,2025-11-02,Alice,UK,Office Supplies,3247.79,366.77,3.0,
GS-1022,2025-12-23,2025-12-25,Alice,Brazil,Office Supplies,718.71,225.62,0.0,0.2
GS-1023,2025-05-20,2025-05-27,Alice,USA,Office Supplies,2955.02,-893.42,5.0,
GS-1024,2025-05-14,2025-05-17,Diana  ,Brazil,Furniture,801.64,317.69,3.0,0.0
GS-1025,2025-06-14,2025-06-16,Frank,India,Office Supplies,4270.8,-676.75,5.0,0.2
GS-1026,2025-02-15,2025-02-24,Alice,UK,Technology,4730.35,-342.76,0.0,0.0
GS-1027,2025-05-19,2025-05-28,Charlie,USA,Furniture,741.67,-87.14,2.0,0.1
GS-1028,2025-01-17,2025-01-20,Henry,Indai,Office Supplies,2416.2,-422.96,3.0,0.5
GS-1029,2025-08-28,2025-08-29,Alice,Germany,Technology,1336.1,-508.57,1.0,0.5
GS-,2025-10-14,2025-10-23,Alice,UK,Technology,908.66,277.4,,0.5
GS-1031,2025-04-02,2025-04-08,Charlie,Brazil,Office Supplies,1778.67,-693.56,1.0,0.0
GS-1032,2025-07-26,2025-07-30,Diana,UK,Furniture,3328.15,581.26,3.0,0.1
GS-1033,,2025-04-24,Bob,Brazil,Furniture,2024.39,402.96,0.0,0.2
GS-1034,2025-08-11,2025-08-19,Alice,UK,Office Supplies,2065.32,530.68,0.0,0.5
GS-1035,2025-09-19,2025-09-23,Grace,India,Technology,2411.59,-368.44,0.0,1.2
GS-1036,2025-10-20,2025-10-27,Charlie,Germany,Office Supplies,2505.19,-510.4,10.0,0.2
GS-1037,2025-03-23,2025-03-26,Bob,USA,Technology,490.03,-98.05,0.0,0.1
GS-1038,2025-08-12,2025-08-11,Bob,India,Office Supplies,4260.84,1406.92,10.0,
GS-1039,2025-03-09,2025-03-11,Henry,Germany,Office Supplies,4562.05,-1858.11,0.0,0.2
